Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price,Discount,Tax,Shipping_Cost,Total_Amount,Payment_Method,Order_Status,City,State,Country,Seller_ID
ORD0000001,2023-01-31,CUST001504,"Vihaan Sharma",P00014,"Drone Mini",Books,BrightLux,3,106.59,0.00,0.00,0.09,319.86,"Debit Card",Delivered,Washington,DC,India,SELL01967
ORD0000002,2023-12-30,CUST000178,"Pooja Kumar",P00040,Microphone,"Home & Kitchen",UrbanStyle,1,251.37,0.05,19.10,1.74,259.64,"Amazon Pay",Delivered,"Fort Worth",TX,"United States",SELL01298
ORD0000003,2022-05-10,CUST047516,"Sneha Singh",P00044,"Power Bank 20000mAh",Clothing,UrbanStyle,3,35.03,0.10,7.57,5.91,108.06,"Debit Card",Delivered,Austin,TX,"United States",SELL00908
ORD0000004,2023-07-18,CUST030059,"Vihaan Reddy",P00041,"Webcam Full HD","Home & Kitchen",Zenith,5,33.58,0.15,11.42,5.53,159.66,"Cash on Delivery",Delivered,Charlotte,NC,India,SELL01164
ORD0000005,2023-02-04,CUST048677,"Aditya Kapoor",P00029,T-Shirt,Clothing,KiddoFun,2,515.64,0.25,38.67,9.23,821.36,"Credit Card",Cancelled,"San Antonio",TX,Canada,SELL01411
ORD0000006,2022-12-31,CUST042705,"Karan Sharma",P00023,"Cookware Set",Books,ReadMore,4,449.73,0.00,215.87,2.74,2017.53,UPI,Delivered,"Los Angeles",CA,"United States",SELL01494
ORD0000007,2024-09-20,CUST037667,"Aarav Verma",P00030,"Dress Shirt",Clothing,UrbanStyle,2,219.81,0.20,28.14,14.97,394.81,UPI,Delivered,Chicago,IL,Australia,SELL01676
ORD0000008,2022-11-10,CUST031165,"Rohit Kumar",P00028,Jeans,"Toys & Games",KiddoFun,2,306.51,0.05,29.12,6.24,617.73,"Debit Card",Pending,Denver,CO,India,SELL00510
ORD0000009,2024-06-26,CUST026965,"Aman Kapoor",P00031,"Kids Toy Car","Sports & Outdoors",Apex,4,146.09,0.00,46.75,7.03,638.14,"Debit Card",Delivered,Washington,DC,"United States",SELL01895
ORD0000010,2020-05-01,CUST029472,"Aarav Reddy",P00001,"Wireless Earbuds",Clothing,Apex,2,278.21,0.10,60.09,4.88,565.75,"Credit Card",Delivered,Houston,TX,"United States",SELL01584
